"Source URL","Target URL","Anchor","Context","Plaats","Source type","Target type","Actie"
"/appartement-verkopen","/huis-verkopen-zonder-makelaar","verkopen zonder makelaar","Wie zelf verkoopt, vindt een uitgebreid proces bij [verkopen zonder makelaar](/huis-verkopen-zonder-makelaar).","einde","money","child","houden"
"/appartement-verkopen","/huis-verkopen-met-makelaar","verkopen met een vastgoedmakelaar",". Wie begeleiding overweegt, kan [verkopen met een vastgoedmakelaar](/huis-verkopen-met-makelaar) en meerdere voorstellen vergelijken.","einde","money","child","houden"
"/asbestattest/antwerpen","/huis-verkopen-verplichtingen","huis verkopen verplichtingen",". Een overzicht vind je op de pagina [huis verkopen verplichtingen](/huis-verkopen-verplichtingen).","einde","support","hub","houden"
"/asbestattest/antwerpen","/asbestattest/goedkoop","asbestattest goedkoop",". Voor de kosten van een attest lees je [asbestattest goedkoop](/asbestattest/goedkoop), en voor de aanvraag [asbestattest laten opmaken](/asbestattest/laten-opmaken).","einde","support","child","houden"
"/asbestattest/antwerpen","/asbestattest/laten-opmaken","asbestattest laten opmaken",". Voor de kosten van een attest lees je [asbestattest goedkoop](/asbestattest/goedkoop), en voor de aanvraag [asbestattest laten opmaken](/asbestattest/laten-opmaken).","einde","support","child","houden"
"/asbestattest/appartement","/huis-verkopen-verplichtingen/asbestattest/gemeenschappelijke-delen","asbestattest gemeenschappelijke delen",". Meer daarover lees je op de pagina over de [asbestattest gemeenschappelijke delen](/huis-verkopen-verplichtingen/asbestattest/gemeenschappelijke-delen).","midden","support","child","houden"
"/asbestattest/appartement","/huis-verkopen-verplichtingen","verplichtingen bij verkoop van een huis","Een volledig overzicht vind je op de pagina over de [verplichtingen bij verkoop van een huis](/huis-verkopen-verplichtingen).","einde","support","hub","houden"
"/asbestattest/appartement","/kosten-vastgoedmakelaar","kosten van een vastgoedmakelaar",". Meer over de kosten lees je op de pagina over de [kosten van een vastgoedmakelaar](/kosten-vastgoedmakelaar).","einde","support","money","houden"
"/asbestattest/asbestinventaris","/asbestattest","asbestattest","Een asbestinventaris is de technische opname van alle asbesthoudende materialen in een gebouw en vormt de basis waarop OVAM het officiële [asbestattest](/asbestattest) genereert.","intro","support","child","houden"
"/asbestattest/asbestinventaris/verplicht","/asbestattest/appartement","asbestattest voor een appartement",". Meer daarover lees je op [asbestattest voor een appartement](/asbestattest/appartement).","midden","support","child","houden"
"/asbestattest/asbestinventaris/verplicht","/asbestattest/laten-opmaken","asbestattest laten opmaken",". Wil je het attest laten regelen, lees dan [asbestattest laten opmaken](/asbestattest/laten-opmaken).","midden","support","child","houden"
"/asbestattest/asbestinventaris/verplicht","/asbestattest/goedkoop","prijs van het asbestattest",". Meer detail lees je op [prijs van het asbestattest](/asbestattest/goedkoop).","midden","support","child","houden"
"/asbestattest/asbestkeuring","/huis-verkopen-verplichtingen","huis verkopen verplichtingen","Meer over de volledige lijst lees je op [huis verkopen verplichtingen](/huis-verkopen-verplichtingen) en specifiek over dit attest op [asbestattest bij verkoop](/huis-verkopen-verplichtingen/asbestattest).","midden","support","hub","houden"
"/asbestattest/asbestkeuring","/huis-verkopen-verplichtingen/asbestattest","asbestattest bij verkoop","Meer over de volledige lijst lees je op [huis verkopen verplichtingen](/huis-verkopen-verplichtingen) en specifiek over dit attest op [asbestattest bij verkoop](/huis-verkopen-verplichtingen/asbestattest).","midden","support","child","houden"
"/asbestattest/asbestkeuring","/asbestattest/renovatie","asbestattest renovatie","Meer over dit onderwerp lees je op [asbestattest renovatie](/asbestattest/renovatie) en [asbestsanering](/asbestattest/asbestsanering).","einde","support","child","houden"
"/asbestattest/asbestkeuring","/asbestattest/asbestsanering","asbestsanering","Meer over dit onderwerp lees je op [asbestattest renovatie](/asbestattest/renovatie) en [asbestsanering](/asbestattest/asbestsanering).","einde","support","child","houden"
"/asbestattest/bij-schenking","/asbestattest/bij-erfenis","asbestattest na een erfenis",". Meer over dat onderscheid lees je bij het [asbestattest na een erfenis](/asbestattest/bij-erfenis).","intro","support","child","houden"
"/asbestattest/bij-schenking","/asbestattest/laten-opmaken","asbestattest laten opmaken","De volledige onderzoeksmethode staat in de gids over een [asbestattest laten opmaken](/asbestattest/laten-opmaken).","midden","support","child","houden"
"/asbestattest/bij-schenking","/asbestattest/geldigheid","geldigheid van het asbestattest","De precieze uitzonderingen staan op de pagina over de [geldigheid van het asbestattest](/asbestattest/geldigheid).","einde","support","child","houden"
"/asbestattest/brugge","/asbestattest","asbestattest","Meer lezen over het [asbestattest](/asbestattest), het [asbestattest laten opmaken](/asbestattest/laten-opmaken) of een [goedkoop asbestattest](/asbestattest/goedkoop).","einde","support","child","houden"
"/asbestattest/brugge","/asbestattest/laten-opmaken","asbestattest laten opmaken","Meer lezen over het [asbestattest](/asbestattest), het [asbestattest laten opmaken](/asbestattest/laten-opmaken) of een [goedkoop asbestattest](/asbestattest/goedkoop).","einde","support","child","houden"
"/asbestattest/brugge","/asbestattest/goedkoop","goedkoop asbestattest","Meer lezen over het [asbestattest](/asbestattest), het [asbestattest laten opmaken](/asbestattest/laten-opmaken) of een [goedkoop asbestattest](/asbestattest/goedkoop).","einde","support","child","houden"
"/asbestattest/brugge","/asbestattest/west-vlaanderen","West-Vlaanderen",". Bekijk ook de regio [West-Vlaanderen](/asbestattest/west-vlaanderen).","einde","support","child","houden"
"/asbestattest/compromis","/huis-verkopen-verplichtingen/asbestattest/prijs","asbestattest prijs",". Meer detail vind je op de pagina [asbestattest prijs](/huis-verkopen-verplichtingen/asbestattest/prijs).","midden","support","child","houden"
"/asbestattest/compromis","/asbestattest/appartement","asbestattest appartement",". Meer uitleg staat op de pagina [asbestattest appartement](/asbestattest/appartement) en [asbestattest gemeenschappelijke delen](/huis-verkopen-verplichtingen/asbestattest/gemeenschappelijke-delen).","midden","support","child","houden"
"/asbestattest/compromis","/huis-verkopen-verplichtingen/asbestattest/gemeenschappelijke-delen","asbestattest gemeenschappelijke delen",". Meer uitleg staat op de pagina [asbestattest appartement](/asbestattest/appartement) en [asbestattest gemeenschappelijke delen](/huis-verkopen-verplichtingen/asbestattest/gemeenschappelijke-delen).","midden","support","child","houden"
"/asbestattest/compromis","/huis-verkopen-verplichtingen","huis verkopen verplichtingen","Een volledig overzicht vind je op de pagina [huis verkopen verplichtingen](/huis-verkopen-verplichtingen).","midden","support","hub","houden"
"/asbestattest/compromis","/huis-verkopen-met-makelaar","huis verkopen met makelaar",". Meer over de begeleiding en kosten lees je op [huis verkopen met makelaar](/huis-verkopen-met-makelaar) en [kosten vastgoedmakelaar](/kosten-vastgoedmakelaar).","einde","support","child","houden"
"/asbestattest/compromis","/kosten-vastgoedmakelaar","kosten vastgoedmakelaar",". Meer over de begeleiding en kosten lees je op [huis verkopen met makelaar](/huis-verkopen-met-makelaar) en [kosten vastgoedmakelaar](/kosten-vastgoedmakelaar).","einde","support","money","houden"
"/asbestattest/compromis","/asbestattest/wetgeving","asbestattest wetgeving",". Meer achtergrond staat op de pagina [asbestattest wetgeving](/asbestattest/wetgeving).","einde","support","child","houden"
"/asbestattest/compromis","/opschortende-voorwaarde","opschortende voorwaarde",". Lees meer over de [opschortende voorwaarde](/opschortende-voorwaarde).","einde","support","child","houden"
"/asbestattest/dendermonde","/asbestattest/goedkoop","een goedkoop asbestattest","Meer lezen? Bekijk [een goedkoop asbestattest](/asbestattest/goedkoop), de [geldigheid van het asbestattest](/asbestattest/geldigheid) en de rol van de [notaris bij het asbestattest](/asbestattest/notaris).","einde","support","child","houden"
"/asbestattest/dendermonde","/asbestattest/geldigheid","geldigheid van het asbestattest","Meer lezen? Bekijk [een goedkoop asbestattest](/asbestattest/goedkoop), de [geldigheid van het asbestattest](/asbestattest/geldigheid) en de rol van de [notaris bij het asbestattest](/asbestattest/notaris).","einde","support","child","houden"
"/asbestattest/dendermonde","/asbestattest/notaris","notaris bij het asbestattest","Meer lezen? Bekijk [een goedkoop asbestattest](/asbestattest/goedkoop), de [geldigheid van het asbestattest](/asbestattest/geldigheid) en de rol van de [notaris bij het asbestattest](/asbestattest/notaris).","einde","support","child","houden"
"/asbestattest/garage","/asbestattest/verplicht","asbestattest verplicht","Meer weten? Bekijk ook wanneer een [asbestattest verplicht](/asbestattest/verplicht) is, hoe je een [goedkoop asbestattest](/asbestattest/goedkoop) vindt en hoe het attest werkt [bij verkoop](/huis-verkopen-verplichtingen/asbestattest).","einde","support","child","houden"
"/asbestattest/garage","/asbestattest/goedkoop","goedkoop asbestattest","Meer weten? Bekijk ook wanneer een [asbestattest verplicht](/asbestattest/verplicht) is, hoe je een [goedkoop asbestattest](/asbestattest/goedkoop) vindt en hoe het attest werkt [bij verkoop](/huis-verkopen-verplichtingen/asbestattest).","einde","support","child","houden"
"/asbestattest/garage","/huis-verkopen-verplichtingen/asbestattest","bij verkoop","Meer weten? Bekijk ook wanneer een [asbestattest verplicht](/asbestattest/verplicht) is, hoe je een [goedkoop asbestattest](/asbestattest/goedkoop) vindt en hoe het attest werkt [bij verkoop](/huis-verkopen-verplichtingen/asbestattest).","einde","support","child","houden"
"/asbestattest/geen","/huis-verkopen-verplichtingen/asbestattest/gemeenschappelijke-delen","asbestattest/gemeenschappelijke-delen","Meer daarover lees je op [asbestattest/gemeenschappelijke-delen](/huis-verkopen-verplichtingen/asbestattest/gemeenschappelijke-delen).","midden","support","child","houden"
"/asbestattest/geen","/huis-verkopen-verplichtingen","huis-verkopen-verplichtingen","Een volledig overzicht vind je op [huis-verkopen-verplichtingen](/huis-verkopen-verplichtingen).","einde","support","hub","houden"
"/asbestattest/geen","/huis-verkopen-verplichtingen/asbestattest","asbestattest bij verkoop","Meer weten? Lees ook hoe het [asbestattest bij verkoop](/huis-verkopen-verplichtingen/asbestattest) werkt, welke rol de [notaris](/asbestattest/notaris) heeft en hoe je een [goedkoop asbestattest](/asbestattest/goedkoop) vindt.","einde","support","child","houden"
"/asbestattest/geen","/asbestattest/notaris","notaris","Meer weten? Lees ook hoe het [asbestattest bij verkoop](/huis-verkopen-verplichtingen/asbestattest) werkt, welke rol de [notaris](/asbestattest/notaris) heeft en hoe je een [goedkoop asbestattest](/asbestattest/goedkoop) vindt.","einde","support","child","houden"
"/asbestattest/geen","/asbestattest/goedkoop","goedkoop asbestattest","Meer weten? Lees ook hoe het [asbestattest bij verkoop](/huis-verkopen-verplichtingen/asbestattest) werkt, welke rol de [notaris](/asbestattest/notaris) heeft en hoe je een [goedkoop asbestattest](/asbestattest/goedkoop) vindt.","einde","support","child","houden"
"/asbestattest/geldigheid","/huis-verkopen-verplichtingen/asbestattest","asbestattest bij verkoop","Meer over deze timing staat op de pagina over het [asbestattest bij verkoop](/huis-verkopen-verplichtingen/asbestattest).","midden","support","child","houden"
"/asbestattest/geldigheid","/asbestattest/renovatie","asbestattest bij renovatie",". De samenhang staat in de gids over het [asbestattest bij renovatie](/asbestattest/renovatie).","midden","support","child","houden"
"/asbestattest/gent","/asbestattest/laten-opmaken","asbestattest laat opmaken",". Lees ook hoe je een [asbestattest laat opmaken](/asbestattest/laten-opmaken), wat de [geldigheid](/asbestattest/geldigheid) inhoudt en hoe je een [goedkoop asbestattest](/asbestattest/goedkoop) vindt.","einde","support","child","houden"
"/asbestattest/gent","/asbestattest/geldigheid","geldigheid",". Lees ook hoe je een [asbestattest laat opmaken](/asbestattest/laten-opmaken), wat de [geldigheid](/asbestattest/geldigheid) inhoudt en hoe je een [goedkoop asbestattest](/asbestattest/goedkoop) vindt.","einde","support","child","houden"
"/asbestattest/gent","/asbestattest/goedkoop","goedkoop asbestattest",". Lees ook hoe je een [asbestattest laat opmaken](/asbestattest/laten-opmaken), wat de [geldigheid](/asbestattest/geldigheid) inhoudt en hoe je een [goedkoop asbestattest](/asbestattest/goedkoop) vindt.","einde","support","child","houden"
"/asbestattest/goedkoop","/huis-verkopen-verplichtingen","huis verkopen verplichtingen","Meer over de volledige lijst lees je op [huis verkopen verplichtingen](/huis-verkopen-verplichtingen) en specifiek over dit attest op [asbestattest bij verkoop](/huis-verkopen-verplichtingen/asbestattest).","einde","support","hub","houden"
"/asbestattest/goedkoop","/huis-verkopen-verplichtingen/asbestattest","asbestattest bij verkoop","Meer over de volledige lijst lees je op [huis verkopen verplichtingen](/huis-verkopen-verplichtingen) en specifiek over dit attest op [asbestattest bij verkoop](/huis-verkopen-verplichtingen/asbestattest).","einde","support","child","houden"
"/asbestattest/goedkoop","/asbestattest/verplicht","asbestattest verplicht",". Meer daarover lees je op [asbestattest verplicht](/asbestattest/verplicht) en [asbestattest notaris](/asbestattest/notaris).","einde","support","child","houden"
"/asbestattest/goedkoop","/asbestattest/notaris","asbestattest notaris",". Meer daarover lees je op [asbestattest verplicht](/asbestattest/verplicht) en [asbestattest notaris](/asbestattest/notaris).","einde","support","child","houden"
"/asbestattest/hasselt","/asbestattest/wie-betaalt","wie het asbestattest betaalt",". Meer hierover lees je op de pagina over [wie het asbestattest betaalt](/asbestattest/wie-betaalt).","midden","support","child","houden"
"/asbestattest/hasselt","/huis-verkopen-verplichtingen/asbestattest/gemeenschappelijke-delen","asbestattest voor gemeenschappelijke delen",". Meer info staat op de pagina over [asbestattest voor gemeenschappelijke delen](/huis-verkopen-verplichtingen/asbestattest/gemeenschappelijke-delen).","einde","support","child","houden"
"/asbestattest/hasselt","/huis-verkopen-verplichtingen","verplichtingen bij verkoop van een huis","Een volledig overzicht vind je op de pagina over [verplichtingen bij verkoop van een huis](/huis-verkopen-verplichtingen).","einde","support","hub","houden"
"/asbestattest/hoe-lang-moet-je-wachten","/huis-verkopen-verplichtingen/asbestattest/gemeenschappelijke-delen","asbestattest gemeenschappelijke delen",". Meer lees je op [asbestattest gemeenschappelijke delen](/huis-verkopen-verplichtingen/asbestattest/gemeenschappelijke-delen).","einde","support","child","houden"
"/asbestattest/hoe-lang-moet-je-wachten","/huis-verkopen-verplichtingen","verplichtingen bij verkoop van een huis","Een volledig overzicht vind je bij de [verplichtingen bij verkoop van een huis](/huis-verkopen-verplichtingen).","einde","support","hub","houden"
"/asbestattest","/asbestattest/asbestinventaris","asbestinventaris",". Meer achtergrond over onderzoeksdoel en inventaristypes staat op de pagina over de [asbestinventaris](/asbestattest/asbestinventaris).","intro","money","child","houden"
"/asbestattest","/asbestattest/bij-schenking","asbestattest voor de schenkingsakte","Bij een schenking regel je het [asbestattest voor de schenkingsakte](/asbestattest/bij-schenking).","intro","money","child","houden"
"/asbestattest","/asbestattest/bij-erfenis","asbestattest na een erfenis",". Voor nalatenschappen geldt een andere route, die wordt behandeld bij het [asbestattest na een erfenis](/asbestattest/bij-erfenis).","intro","money","child","houden"
"/asbestattest","/asbestattest/garage","asbestattest voor een garage",". De pagina over het [asbestattest voor een garage](/asbestattest/garage) behandelt de uitzonderingen en samenhang uitgebreider.","intro","money","child","houden"
"/asbestattest","/asbestattest/geen","geen asbestattest nodig is",". Andere vrijstellingen staan bij de situaties waarin [geen asbestattest nodig is](/asbestattest/geen).","intro","money","child","houden"
"/asbestattest","/asbestattest/appartement","asbestattest voor een appartement",". De volledige combinatie staat op de pagina over het [asbestattest voor een appartement](/asbestattest/appartement).","midden","money","child","houden"
"/asbestattest","/asbestattest/laten-opmaken","een asbestattest laten opmaken",". De praktische aanvraag wordt stap voor stap uitgewerkt bij [een asbestattest laten opmaken](/asbestattest/laten-opmaken).","midden","money","child","houden"
"/asbestattest","/asbestattest/wie-betaalt","wie het asbestattest betaalt",". De verantwoordelijkheid, mogelijke afspraken en uitzonderingen staan uitgebreider op [wie het asbestattest betaalt](/asbestattest/wie-betaalt).","midden","money","child","houden"
"/asbestattest","/asbestattest/goedkoop","goedkoop asbestattest",". Een lage totaalprijs beoordeel je samen met de scope via de gids over een [goedkoop asbestattest](/asbestattest/goedkoop).","midden","money","child","houden"
"/asbestattest","/asbestattest/hoe-lang-moet-je-wachten","hoe lang je op een asbestattest wacht",". De specifieke doorlooptijdfactoren staan op [hoe lang je op een asbestattest wacht](/asbestattest/hoe-lang-moet-je-wachten).","midden","money","child","houden"
"/asbestattest","/asbestattest/geldigheid","geldigheid van het asbestattest",". Alle vernieuwingsregels staan op de pagina over de [geldigheid van het asbestattest](/asbestattest/geldigheid).","midden","money","child","houden"
"/asbestattest","/asbestattest/compromis","asbestattest en compromis",". De juridische timing wordt uitgebreider uitgelegd bij het [asbestattest en compromis](/asbestattest/compromis).","midden","money","child","houden"
"/asbestattest","/asbestattest/asbestsanering","asbestsanering","Meer over technieken, uitvoerders en kostenfactoren staat in de gids over [asbestsanering](/asbestattest/asbestsanering).","einde","money","child","houden"
"/asbestattest","/asbestattest/renovatie","asbestattest voor renovatie",". De samenhang tussen verkoop, werken en onderzoek wordt verder uitgewerkt bij het [asbestattest voor renovatie](/asbestattest/renovatie).","einde","money","child","houden"
"/asbestattest/laten-opmaken","/huis-verkopen-verplichtingen/epc","EPC",". De kosten horen bij het verkoopdossier, samen met andere verplichte documenten zoals het [EPC](/huis-verkopen-verplichtingen/epc) en het [bodemattest](/huis-verkopen-verplichtingen/bodemattest).","midden","money","child","houden"
"/asbestattest/laten-opmaken","/huis-verkopen-verplichtingen/bodemattest","bodemattest",". De kosten horen bij het verkoopdossier, samen met andere verplichte documenten zoals het [EPC](/huis-verkopen-verplichtingen/epc) en het [bodemattest](/huis-verkopen-verplichtingen/bodemattest).","midden","money","child","houden"
"/asbestattest/laten-opmaken","/asbestattest/geldigheid","geldigheid van het asbestattest",". Meer details lees je op de pagina over de [geldigheid van het asbestattest](/asbestattest/geldigheid).","midden","money","child","houden"
"/asbestattest/laten-opmaken","/kosten-vastgoedmakelaar","kosten van een vastgoedmakelaar",". Vergelijk de tarieven op de pagina over de [kosten van een vastgoedmakelaar](/kosten-vastgoedmakelaar).","einde","money","money","houden"
"/asbestattest/leuven","/asbestattest/appartement","asbestattest voor een appartement",". Meer lees je op de pagina over het [asbestattest voor een appartement](/asbestattest/appartement).","midden","support","child","houden"
"/asbestattest/leuven","/huis-verkopen-verplichtingen","verplichtingen bij de verkoop van een huis","Een overzicht van alle plichten vind je op de pagina [verplichtingen bij de verkoop van een huis](/huis-verkopen-verplichtingen).","einde","support","hub","houden"
"/asbestattest/lier","/huis-verkopen-verplichtingen/asbestattest/gemeenschappelijke-delen","asbestattest voor gemeenschappelijke delen","Meer uitleg vind je op de pagina over het [asbestattest voor gemeenschappelijke delen](/huis-verkopen-verplichtingen/asbestattest/gemeenschappelijke-delen).","einde","support","child","houden"
"/asbestattest/lier","/huis-verkopen-verplichtingen","huis verkopen verplichtingen","Een volledig overzicht staat op de pagina [huis verkopen verplichtingen](/huis-verkopen-verplichtingen).","einde","support","hub","houden"
"/asbestattest/limburg","/huis-verkopen-verplichtingen","huis verkopen verplichtingen","Meer over de volledige lijst lees je op de pagina [huis verkopen verplichtingen](/huis-verkopen-verplichtingen).","einde","support","hub","houden"
"/asbestattest/lokeren","/huis-verkopen-verplichtingen","huis verkopen verplichtingen","Meer over de volledige lijst lees je op [huis verkopen verplichtingen](/huis-verkopen-verplichtingen).","einde","support","hub","houden"
"/asbestattest/notaris","/asbestattest/compromis","asbestattest bij het compromis","Meer over de timing lees je in de gids over het [asbestattest bij het compromis](/asbestattest/compromis).","einde","support","child","houden"
"/asbestattest/notaris","/asbestattest/geldigheid","de geldigheid van het asbestattest",". Voor de geldigheidsduur bekijk je [de geldigheid van het asbestattest](/asbestattest/geldigheid).","einde","support","child","houden"
"/asbestattest/notaris","/notariskosten-verkoop-huis","notariskosten bij verkoop van een huis",". Wil je de volledige kostprijs van de verkoop kennen, lees dan over de [notariskosten bij verkoop van een huis](/notariskosten-verkoop-huis).","einde","support","child","houden"
"/asbestattest/oost-vlaanderen","/asbestattest/gent","asbestattest in Gent",". Bekijk ook de pagina over [asbestattest in Gent](/asbestattest/gent), de [prijs van een asbestattest](/huis-verkopen-verplichtingen/asbestattest/prijs) en de [geldigheid van een asbestattest](/asbestattest/geldigheid).","einde","support","child","houden"
"/asbestattest/oost-vlaanderen","/huis-verkopen-verplichtingen/asbestattest/prijs","prijs van een asbestattest",". Bekijk ook de pagina over [asbestattest in Gent](/asbestattest/gent), de [prijs van een asbestattest](/huis-verkopen-verplichtingen/asbestattest/prijs) en de [geldigheid van een asbestattest](/asbestattest/geldigheid).","einde","support","child","houden"
"/asbestattest/oost-vlaanderen","/asbestattest/geldigheid","geldigheid van een asbestattest",". Bekijk ook de pagina over [asbestattest in Gent](/asbestattest/gent), de [prijs van een asbestattest](/huis-verkopen-verplichtingen/asbestattest/prijs) en de [geldigheid van een asbestattest](/asbestattest/geldigheid).","einde","support","child","houden"
"/asbestattest/oudenaarde","/asbestattest/bij-verhuur","asbestattest bij verhuur",". Meer hierover lees je bij [asbestattest bij verhuur](/asbestattest/bij-verhuur).","midden","support","child","houden"
"/asbestattest/oudenaarde","/asbestattest/goedkoop","prijs van een asbestattest","Een gedetailleerd overzicht van de tarieven vind je bij [prijs van een asbestattest](/asbestattest/goedkoop).","midden","support","child","houden"
"/asbestattest/oudenaarde","/asbestattest/appartement","asbestattest voor een appartement","Meer hierover lees je bij [asbestattest voor een appartement](/asbestattest/appartement).","einde","support","child","houden"
"/asbestattest/oudenaarde","/huis-verkopen-verplichtingen","verplichtingen bij verkoop van een woning","Een volledig overzicht vind je bij [verplichtingen bij verkoop van een woning](/huis-verkopen-verplichtingen).","einde","support","hub","houden"
"/asbestattest/renovatie","/renovatieplicht-bestaande-woning","renovatieplicht bestaande woning","Lees meer over de [renovatieplicht bestaande woning](/renovatieplicht-bestaande-woning) en over [hoeveel een totaalrenovatie kost](/hoeveel-kost-een-totaalrenovatie).","einde","support","child","houden"
"/asbestattest/renovatie","/hoeveel-kost-een-totaalrenovatie","hoeveel een totaalrenovatie kost","Lees meer over de [renovatieplicht bestaande woning](/renovatieplicht-bestaande-woning) en over [hoeveel een totaalrenovatie kost](/hoeveel-kost-een-totaalrenovatie).","einde","support","child","houden"
"/asbestattest/renovatie","/huis-verkopen-verplichtingen/asbestattest/gemeenschappelijke-delen","gemeenschappelijke delen","Meer over de [gemeenschappelijke delen](/huis-verkopen-verplichtingen/asbestattest/gemeenschappelijke-delen) en het [asbestattest voor appartementen](/asbestattest/appartement).","einde","support","child","houden"
"/asbestattest/renovatie","/asbestattest/appartement","asbestattest voor appartementen","Meer over de [gemeenschappelijke delen](/huis-verkopen-verplichtingen/asbestattest/gemeenschappelijke-delen) en het [asbestattest voor appartementen](/asbestattest/appartement).","einde","support","child","houden"
"/asbestattest/renovatie","/huis-verkopen-verplichtingen","verplichtingen bij verkoop van een huis","Bekijk ook de [verplichtingen bij verkoop van een huis](/huis-verkopen-verplichtingen) en het [asbestattest bij verkoop](/huis-verkopen-verplichtingen/asbestattest).","einde","support","hub","houden"
"/asbestattest/renovatie","/huis-verkopen-verplichtingen/asbestattest","asbestattest bij verkoop","Bekijk ook de [verplichtingen bij verkoop van een huis](/huis-verkopen-verplichtingen) en het [asbestattest bij verkoop](/huis-verkopen-verplichtingen/asbestattest).","einde","support","child","houden"
"/asbestattest/sint-niklaas","/huis-verkopen-verplichtingen","de verplichtingen bij verkoop van een woning","Meer over de volledige lijst lees je op de pagina over [de verplichtingen bij verkoop van een woning](/huis-verkopen-verplichtingen).","einde","support","hub","houden"
"/asbestattest/sint-niklaas","/asbestattest/laten-opmaken","hoe je een asbestattest laat opmaken",". Bekijk ook [hoe je een asbestattest laat opmaken](/asbestattest/laten-opmaken) en [wie het asbestattest betaalt](/asbestattest/wie-betaalt).","einde","support","child","houden"
"/asbestattest/sint-niklaas","/asbestattest/wie-betaalt","wie het asbestattest betaalt",". Bekijk ook [hoe je een asbestattest laat opmaken](/asbestattest/laten-opmaken) en [wie het asbestattest betaalt](/asbestattest/wie-betaalt).","einde","support","child","houden"
"/asbestattest/turnhout","/asbestattest/laten-opmaken","asbestattest laten opmaken",". Meer over de aanvraag lees je bij [asbestattest laten opmaken](/asbestattest/laten-opmaken), en over de plicht bij [wanneer is een asbestattest verplicht](/asbestattest/verplicht).","einde","support","child","houden"
"/asbestattest/turnhout","/asbestattest/verplicht","wanneer is een asbestattest verplicht",". Meer over de aanvraag lees je bij [asbestattest laten opmaken](/asbestattest/laten-opmaken), en over de plicht bij [wanneer is een asbestattest verplicht](/asbestattest/verplicht).","einde","support","child","houden"
"/asbestattest/uitstel","/huis-verkopen-verplichtingen/asbestattest","asbestattest bij verkoop",". Je vindt meer details op [asbestattest bij verkoop](/huis-verkopen-verplichtingen/asbestattest).","intro","support","child","houden"
